student_id,course_id,satisfaction,contribution,general_sentiment
1117,1007,3.0,3.4,4.1
895,1202,2.7,3.6,2.7
455,1072,3.1,4.7,2.7
1243,1129,3.9,4.2,2.7
254,1001,2.5,5.0,2.5
338,1248,3.3,3.3,4.5
914,1114,3.9,3.4,2.7
300,1193,2.9,4.1,3.7
479,1247,3.8,4.9,2.7
1308,1130,4.2,2.9,3.4
1057,1235,2.9,3.6,4.6
274,1210,4.4,3.8,4.5
752,1077,3.6,4.1,4.8
210,1056,4.7,4.5,2.8
614,1176,4.8,4.8,2.8
57,1150,4.2,4.0,2.9
650,1030,2.7,3.0,2.9
1251,1025,4.0,3.3,3.6
770,1129,4.1,4.6,4.5
1224,1134,4.9,4.2,2.7
1331,1017,3.1,2.9,4.9
1119,1022,3.7,4.5,2.6
619,1131,2.6,5.0,3.7
962,1121,4.6,4.1,4.4
9,1090,4.0,4.6,2.7
1080,1019,4.1,4.8,3.9
968,1270,4.3,3.8,4.4
1448,1136,4.1,3.2,2.8
144,1275,4.4,3.2,4.1
1446,1015,3.5,3.4,3.7
1381,1032,3.7,3.3,3.7
636,1090,3.5,3.7,4.5
1420,1232,3.2,4.2,2.6
75,1005,4.6,3.0,2.7
937,1119,4.7,4.4,3.9
174,1117,2.9,3.3,2.6
457,1103,2.6,4.9,3.5
1269,1271,3.4,3.8,4.6
932,1007,4.2,3.6,3.8
551,1089,4.6,3.8,4.2
937,1137,2.6,3.0,3.6
120,1123,3.0,3.1,3.3
487,1278,4.3,3.7,3.9
1149,1214,4.0,2.6,3.5
396,1080,4.8,2.8,3.2
1475,1246,4.8,4.1,4.8
478,1245,3.3,2.9,3.5
865,1184,3.1,4.8,3.5
980,1192,2.9,4.0,4.1
107,1008,3.1,4.8,4.2
678,1225,4.3,4.8,3.3
129,1260,4.9,4.1,4.8
957,1144,3.5,2.5,4.6
182,1021,3.4,4.6,3.0
1278,1214,4.4,3.1,2.5
828,1170,4.2,2.6,4.4
900,1252,2.8,4.2,2.7
1148,1244,2.8,2.9,4.5
1108,1000,2.7,3.8,2.9
401,1117,4.4,4.9,4.3
928,1134,4.2,3.2,3.2
418,1263,4.6,3.2,4.4
392,1172,3.5,4.7,3.0
14,1158,2.7,4.6,3.0
1094,1263,3.8,2.6,3.7
73,1266,2.8,2.6,3.5
1368,1231,2.7,4.2,2.7
951,1252,3.6,3.4,4.3
379,1225,3.6,4.4,4.2
661,1243,3.8,4.9,4.4
1157,1007,4.3,2.6,2.5
774,1230,2.9,4.6,3.1
1273,1124,2.9,3.7,4.8
1296,1006,2.6,3.5,4.9
813,1254,3.8,3.1,4.1
1206,1266,3.3,4.3,2.6
263,1209,3.6,4.6,4.0
477,1195,3.2,2.9,3.9
190,1169,3.3,2.8,2.7
1227,1077,3.8,2.5,4.3
1041,1234,4.3,3.3,2.6
430,1002,4.8,4.2,2.5
1205,1271,2.5,2.6,3.5
1011,1185,3.9,4.6,4.4
1356,1249,2.6,3.9,2.5
135,1274,4.6,3.7,3.9
394,1242,3.5,4.2,3.5
141,1136,4.8,3.1,3.7
409,1252,3.1,5.0,4.1
1293,1270,3.7,4.7,3.6
1357,1268,4.7,3.1,3.2
216,1256,4.3,4.9,3.5
1119,1074,3.1,2.9,4.4
314,1195,3.6,3.2,2.6
413,1203,3.5,4.7,4.6
1112,1083,5.0,2.8,4.1
288,1245,3.0,3.5,4.7
1038,1093,3.7,3.6,4.9
524,1053,3.7,3.3,4.2
1308,1136,2.8,3.8,3.1
1113,1184,4.3,3.9,4.9
340,1160,4.3,4.5,3.4
740,1124,3.7,4.7,4.5
130,1264,3.4,3.3,3.5
517,1137,3.7,3.9,3.6
172,1260,4.8,4.9,4.7
317,1267,3.5,3.0,3.3
1235,1256,4.7,4.1,4.8
289,1230,3.6,4.9,2.6
974,1111,3.0,3.9,2.9
915,1247,5.0,4.2,4.4
1151,1263,4.1,3.9,4.5
174,1128,2.9,3.3,3.1
784,1148,4.3,4.4,3.7
968,1261,4.0,4.4,3.8
753,1026,4.1,2.6,2.7
30,1004,2.7,2.6,4.8
1465,1030,4.7,3.3,2.7
462,1135,4.8,3.4,4.4
167,1199,4.9,3.3,2.7
1361,1075,4.1,3.3,4.8
522,1257,3.6,3.3,2.9
305,1237,3.3,4.5,2.9
1417,1277,4.7,2.9,2.8
775,1203,4.8,3.5,3.9
766,1103,4.1,4.2,3.2
1341,1082,4.6,3.1,2.8
255,1120,4.9,4.8,2.7
874,1056,2.6,4.7,3.7
514,1245,3.7,4.4,4.0
736,1270,5.0,3.4,3.6
837,1097,3.9,3.6,2.5
42,1139,3.7,4.2,3.4
1463,1001,3.3,2.7,3.4
1374,1196,2.9,4.1,4.2
1051,1026,4.8,2.8,4.8
559,1064,4.9,3.0,4.1
794,1128,3.2,4.5,4.5
904,1086,3.4,5.0,3.7
576,1108,4.1,4.0,5.0
421,1243,3.4,3.1,3.8
828,1190,5.0,4.8,2.6
1174,1009,3.3,2.9,4.1
105,1237,4.3,3.2,5.0
157,1244,3.3,3.2,5.0
857,1252,4.1,4.1,3.3
275,1029,2.6,4.7,4.8
1248,1189,2.5,3.9,3.3
711,1008,3.0,3.7,3.5
420,1119,4.2,3.2,3.4
1112,1088,3.4,3.8,5.0
1383,1007,3.6,4.3,2.8
334,1261,3.4,3.2,3.0
1499,1195,3.2,2.7,3.6
961,1275,4.2,4.5,4.8
1389,1086,4.7,4.7,2.6
86,1123,2.8,4.4,3.1
1043,1136,2.9,2.7,3.9
1077,1166,3.1,2.7,2.7
94,1127,4.3,4.3,3.4
749,1064,4.8,2.7,4.0
465,1178,4.9,4.9,4.1
813,1250,3.3,4.2,4.0
578,1272,2.6,2.8,4.8
1201,1182,4.8,3.0,4.3
1158,1009,2.7,3.6,4.2
375,1202,3.0,4.3,3.5
481,1226,4.1,3.0,4.5
1154,1236,4.3,3.7,4.3
1202,1081,3.7,4.3,4.0
810,1142,4.7,3.6,3.8
917,1149,2.7,4.9,3.2
999,1012,4.7,3.9,3.0
348,1269,2.8,4.4,3.0
516,1247,4.6,4.4,3.1
949,1009,3.5,4.6,3.2
1468,1077,3.5,4.1,3.0
1104,1029,3.1,3.4,3.1
789,1258,2.5,4.7,4.2
1059,1001,3.2,2.9,2.7
681,1064,3.7,4.8,2.7
149,1203,4.4,3.6,4.2
1206,1275,4.7,3.6,4.9
727,1242,4.2,3.3,4.4
859,1159,4.8,4.2,4.0
223,1008,4.9,3.9,4.3
122,1217,3.3,3.4,4.5
756,1160,3.4,3.3,3.7
530,1004,3.9,4.4,3.1
1219,1211,2.9,4.2,3.5
759,1084,4.7,3.3,4.5
997,1056,4.9,3.5,4.7
1479,1004,3.7,2.9,4.3
361,1226,3.5,4.9,4.7
291,1245,4.5,3.5,4.7
1180,1100,2.9,3.4,3.6
1199,1076,4.5,4.8,2.9
553,1057,4.9,3.0,2.5
871,1003,3.7,3.2,3.0
195,1220,3.7,2.9,4.6
876,1265,4.6,3.2,3.0
448,1230,4.0,3.7,3.6
1159,1146,4.6,3.7,4.2
895,1217,3.4,2.8,4.9
633,1264,4.3,4.0,2.9
1277,1262,3.8,3.7,3.0
676,1175,3.7,4.9,4.1
907,1008,3.3,3.3,4.0
185,1104,4.0,4.0,3.8
1307,1226,3.4,3.4,4.2
502,1212,2.8,3.9,3.7
548,1233,2.5,3.4,3.1
1022,1173,4.9,4.2,4.8
818,1127,4.8,4.1,4.8
887,1245,3.7,3.2,3.4
126,1057,4.5,4.2,4.8
772,1122,4.9,4.5,3.9
651,1256,4.8,4.3,4.0
1362,1245,4.5,3.1,3.9
470,1105,4.7,3.3,4.7
472,1251,3.5,2.9,3.3
1300,1025,3.8,3.7,4.8
297,1205,4.9,4.3,2.7
918,1168,3.5,3.0,4.4
740,1118,4.3,3.4,4.4
1142,1189,3.7,3.1,2.5
1401,1255,3.4,4.1,3.9
692,1252,4.5,4.9,3.7
209,1171,3.3,4.7,3.0
384,1132,4.5,3.0,4.8
407,1032,4.0,3.2,2.7
1037,1000,4.7,3.8,3.8
1498,1171,3.1,3.4,4.3
5,1245,4.6,3.2,3.0
123,1243,3.2,2.6,4.1
656,1254,3.6,3.4,4.4
1194,1244,5.0,3.6,3.5
1313,1147,2.9,3.6,3.3
248,1091,4.8,3.6,3.0
806,1238,4.0,3.2,4.0
333,1257,3.3,2.5,2.6
974,1080,3.3,3.7,2.9
807,1248,4.6,3.4,2.6
910,1074,3.6,3.3,2.9
312,1004,4.0,4.4,4.1
1476,1111,3.3,4.4,2.6
215,1255,3.8,4.3,4.3
1429,1001,3.7,4.8,2.8
884,1101,2.8,2.9,4.3
86,1129,2.7,3.4,3.4
702,1023,2.7,3.4,2.7
46,1230,3.5,2.7,3.5
177,1155,4.5,4.2,3.9
1439,1223,2.7,3.0,2.9
1005,1037,4.4,4.7,3.1
1454,1001,2.6,4.2,2.6
1277,1265,4.1,4.2,3.7
1131,1028,2.6,4.4,4.9
10,1197,4.9,2.8,3.3
686,1194,3.5,4.1,3.5
100,1232,3.8,3.2,2.6
35,1183,4.3,3.5,2.7
386,1005,3.0,2.6,3.1
202,1249,3.7,3.4,2.7
800,1264,4.7,3.8,4.6
592,1256,3.5,2.9,2.5
261,1205,4.1,4.1,3.2
666,1017,3.4,3.5,4.6
339,1177,4.4,3.1,3.0
104,1084,4.7,3.5,4.1
644,1080,3.6,3.6,4.9
232,1275,4.2,4.4,3.0
1496,1221,2.8,3.5,2.8
272,1227,4.8,3.0,4.4
556,1245,4.3,3.2,4.2
739,1237,3.0,4.0,3.3
336,1006,3.7,4.1,3.1
1403,1241,4.7,4.6,3.0
853,1129,2.6,2.5,4.6
687,1240,4.7,3.0,4.9
1236,1193,3.5,3.3,5.0
1078,1251,4.0,2.9,3.7
1328,1188,3.9,3.2,5.0
1457,1236,4.6,3.1,4.0
622,1148,4.7,4.6,4.0
1117,1008,4.6,4.9,4.8
138,1008,3.3,3.5,3.9
615,1133,2.9,2.6,3.0
54,1088,3.0,3.6,4.7
200,1038,2.7,3.5,2.6
238,1139,4.4,4.7,3.3
1154,1240,3.2,4.8,4.7
494,1154,4.5,3.0,4.8
910,1065,4.4,4.2,2.6
731,1004,4.8,3.7,2.5
678,1235,2.7,3.1,4.7
181,1038,3.9,3.9,3.2
420,1132,4.3,3.7,4.3
26,1213,2.9,2.7,4.2
729,1254,2.6,3.7,4.6
351,1226,3.5,4.9,3.9
540,1232,2.6,2.7,4.4
1425,1222,3.2,3.2,3.7
960,1235,4.5,2.6,3.2
1474,1137,4.7,3.1,3.6
288,1242,2.5,4.1,4.7
1142,1178,4.6,3.6,4.9
662,1071,3.7,3.1,4.6
602,1014,2.6,3.4,4.0
1318,1156,3.6,3.7,2.9
1381,1029,4.1,3.4,3.9
91,1109,2.9,4.3,3.4
658,1114,2.9,3.5,3.7
708,1109,3.4,3.2,4.5
468,1196,4.4,3.7,3.9
474,1007,3.4,3.6,4.0
32,1035,4.7,3.3,3.4
1091,1236,3.7,4.4,4.7
520,1005,2.9,2.6,3.8
330,1123,4.6,4.1,4.0
450,1211,3.9,4.6,2.9
180,1181,4.5,2.8,4.5
78,1173,3.0,4.2,2.7
698,1036,3.5,2.8,3.8
214,1238,2.6,2.8,2.5
540,1237,4.8,4.2,2.9
662,1052,3.1,4.3,3.3
477,1202,2.8,4.3,4.5
309,1005,3.9,3.5,4.1
1133,1251,3.5,3.9,4.4
950,1201,4.2,5.0,3.1
624,1181,4.1,2.9,4.2
1133,1250,4.4,4.3,4.7
1211,1086,4.9,4.5,3.7
4,1061,4.8,4.2,3.3
172,1261,4.4,3.3,3.0
1292,1002,4.1,4.9,3.0
562,1008,2.5,3.2,3.0
493,1079,4.6,4.2,2.7
265,1258,3.6,2.8,4.9
129,1258,4.2,2.5,4.0
151,1229,3.4,3.4,3.3
215,1265,4.0,4.8,4.1
497,1001,4.0,4.2,4.9
668,1228,3.7,3.4,3.1
1027,1238,3.7,4.5,4.4
900,1249,4.4,3.6,4.0
1469,1218,4.7,4.9,4.2
878,1141,5.0,3.4,4.9
719,1221,4.4,2.7,3.1
1039,1259,2.7,3.1,4.6
120,1117,4.1,2.7,3.4
723,1139,3.3,4.0,3.7
1211,1098,3.3,3.9,4.3
281,1229,3.6,4.0,2.7
693,1086,4.2,4.0,4.2
554,1253,2.6,3.8,2.7
19,1090,3.0,3.2,3.9
84,1102,4.5,3.8,4.3
1353,1171,3.1,2.8,3.8
428,1017,2.9,3.6,4.6
433,1131,2.6,4.0,3.6
1368,1232,4.2,4.9,2.7
311,1093,3.7,3.1,3.5
426,1261,4.4,4.1,2.9
603,1005,3.4,3.3,3.1
1244,1215,4.7,4.0,3.7
1403,1237,4.3,4.5,4.9
881,1188,2.8,2.9,2.8
1097,1255,4.9,4.0,2.6
801,1272,3.7,4.5,3.6
898,1250,4.3,4.7,3.4
1157,1009,3.9,3.5,2.6
1419,1013,3.6,4.3,2.7
517,1142,2.7,4.7,4.2
1052,1221,3.7,3.8,3.1
1070,1093,4.8,2.8,2.6
552,1104,2.7,3.0,3.0
175,1093,4.1,3.9,3.9
367,1116,3.7,4.9,4.1
140,1248,4.0,2.8,2.6
277,1273,3.0,3.3,4.4
754,1137,3.5,3.4,3.8
1107,1066,2.5,3.8,3.2
436,1223,3.8,3.3,4.5
861,1004,3.3,3.1,3.7
539,1155,3.0,4.2,3.7
1226,1277,3.0,2.9,3.9
438,1040,4.1,4.6,2.7
1306,1193,4.2,4.6,2.9
634,1062,4.4,3.7,5.0
1343,1256,2.7,2.9,4.1
23,1241,3.5,4.1,4.8
1113,1182,4.6,3.5,4.4
1346,1002,2.6,3.3,3.5
823,1019,3.0,4.3,3.4
1370,1219,3.6,4.6,3.1
542,1223,4.8,3.7,4.9
694,1196,3.8,3.5,4.7
358,1229,4.1,3.1,3.8
1389,1078,3.7,2.7,4.0
218,1007,3.5,3.9,4.3
955,1243,4.4,4.4,2.6
935,1121,3.2,3.2,4.1
866,1245,5.0,3.4,4.6
592,1260,4.0,4.8,4.6
939,1117,3.7,3.7,4.4
1304,1138,4.6,4.0,3.9
1487,1242,4.2,4.0,4.5
677,1253,2.8,3.3,4.2
324,1006,4.9,3.8,4.0
1394,1267,2.7,4.1,4.8
729,1247,4.7,4.0,3.1
1468,1021,4.8,3.3,3.1
1458,1013,3.0,4.9,3.0
526,1221,3.3,4.2,3.2
1475,1253,4.0,4.2,3.0
695,1256,4.0,4.5,4.5
1126,1228,4.2,3.0,4.2
413,1201,4.3,3.9,3.0
162,1223,3.7,3.8,2.8
623,1113,4.3,3.2,3.1
1105,1214,4.0,4.1,3.3
1130,1046,4.7,4.5,3.4
345,1250,3.5,4.3,4.8
176,1220,3.6,3.4,3.1
997,1059,2.7,2.8,3.4
1396,1225,3.9,3.5,2.7
1088,1026,4.5,3.1,3.7
663,1264,4.8,3.9,4.6
286,1127,3.8,3.6,3.2
56,1204,5.0,4.1,3.7
1461,1226,2.8,3.6,3.3
1116,1008,2.8,2.8,4.4
40,1134,5.0,2.6,2.7
1111,1007,2.8,3.8,2.8
1122,1024,2.7,4.4,3.6
1472,1009,2.6,4.2,2.6
675,1278,2.8,4.9,4.3
500,1071,3.2,3.1,3.1
1440,1000,4.0,4.4,4.8
755,1253,3.4,3.1,2.6
679,1245,4.0,4.4,2.9
196,1120,4.9,3.5,3.9
840,1254,2.5,2.9,3.9
937,1118,4.0,4.9,4.5
1117,1006,2.8,3.1,3.5
1366,1079,3.1,4.0,4.7
1010,1239,4.8,3.2,2.5
314,1221,4.2,3.6,4.7
22,1050,4.6,3.6,3.1
1150,1106,4.6,3.5,3.6
117,1259,2.9,4.7,4.6
672,1217,4.4,2.6,4.4
107,1007,3.0,4.2,3.6
1092,1016,4.7,3.4,2.6
1184,1244,3.8,3.5,3.6
444,1247,3.0,2.9,2.7
137,1126,4.6,4.2,2.9
238,1126,3.5,3.0,3.4
1004,1002,3.2,4.3,4.7
696,1002,3.4,4.7,4.9
445,1276,4.2,3.9,4.1
1309,1218,2.7,4.3,2.6
251,1247,3.9,3.4,2.6
1392,1234,3.6,3.6,3.6
577,1256,3.6,3.4,3.2
1365,1249,4.8,3.1,2.9
280,1251,3.0,4.0,3.8
1098,1239,3.8,3.0,2.6
44,1091,3.5,2.6,3.1
799,1240,4.3,2.9,4.0
1050,1165,3.9,3.1,3.8
1044,1003,3.1,2.9,2.9
987,1240,3.6,4.7,3.0
1134,1196,3.5,2.9,2.7
843,1235,4.7,4.1,3.9
563,1152,4.5,4.7,4.7
1249,1178,4.4,3.2,3.7
940,1122,3.6,2.9,2.5
199,1198,4.9,4.0,2.7
591,1050,4.4,3.2,4.5
834,1064,3.8,4.4,3.9
1195,1239,3.4,2.9,3.8
15,1225,3.0,4.5,3.3
577,1268,2.9,3.2,4.5
1449,1008,3.8,4.7,3.5
1260,1004,2.9,3.7,4.6
1117,1004,3.1,4.0,3.4
715,1252,4.5,3.7,3.6
1282,1132,4.3,4.3,2.9
577,1258,4.0,2.6,5.0
1422,1239,2.8,3.2,3.8
417,1244,3.7,4.4,3.9
8,1225,4.3,4.7,3.7
306,1243,4.1,3.8,4.5
806,1239,3.9,4.6,3.5
1220,1238,3.1,4.8,2.9
507,1179,4.6,2.8,2.6
1291,1007,2.7,5.0,4.6
1252,1244,2.8,4.8,3.5
795,1232,3.2,2.6,3.7
778,1004,4.4,3.0,4.4
352,1096,4.4,3.6,4.0
738,1267,4.4,2.8,4.5
599,1208,3.5,2.9,4.8
513,1218,4.8,3.1,3.5
173,1002,4.3,3.4,3.0
1369,1149,2.8,4.9,3.1
725,1175,2.9,4.1,2.8
497,1006,3.4,3.4,4.8
1322,1211,4.7,4.7,2.7
32,1033,3.2,4.6,3.9
409,1250,2.6,5.0,4.6
1050,1173,2.7,3.3,3.3
1214,1159,3.8,2.5,2.8
1004,1007,4.4,3.9,2.6
650,1021,3.8,4.1,3.4
1381,1077,3.6,3.3,4.0
566,1229,3.4,3.3,3.4
1393,1232,4.5,4.0,4.7
1066,1248,4.4,3.6,3.8
414,1237,4.2,3.9,4.4
886,1092,3.8,5.0,2.9
675,1263,4.6,3.3,4.3
421,1252,4.3,4.1,2.9
179,1005,4.4,3.0,4.0
644,1099,3.2,3.1,2.6
1354,1199,2.5,2.8,3.5
225,1134,3.0,4.5,4.7
709,1031,3.6,3.9,5.0
838,1270,3.0,5.0,2.9
50,1008,2.6,4.3,4.5
1272,1085,3.0,4.8,2.9
256,1005,4.2,2.8,4.2
741,1006,4.5,3.4,4.3
1147,1036,3.4,3.7,4.9
943,1080,3.9,3.9,4.8
14,1174,4.4,4.1,3.3
982,1030,2.9,4.2,4.3
1320,1245,3.8,3.2,4.0
408,1253,4.7,3.1,2.6
1260,1008,3.7,3.3,3.8
473,1049,3.7,4.3,3.5
590,1252,4.9,3.3,4.7
835,1204,2.8,2.9,3.1
858,1239,4.5,4.7,3.1
1229,1252,4.8,4.8,4.2
773,1089,3.8,3.5,3.5
488,1128,3.9,3.2,3.1
625,1157,4.1,4.9,4.2
1413,1135,4.4,4.8,2.6
234,1191,3.5,3.6,3.5
258,1107,4.9,3.3,3.4
43,1032,3.3,3.7,5.0
929,1005,4.8,3.5,3.0
481,1237,3.6,3.1,3.1
218,1000,4.5,3.3,4.0
518,1241,4.0,4.6,2.8
1380,1245,2.7,4.3,2.9
985,1193,3.6,4.7,4.8
804,1108,4.5,4.2,2.9
454,1247,2.6,3.7,2.6
294,1028,3.2,4.6,4.2
649,1229,4.8,4.2,4.2
725,1152,2.7,2.9,3.3
501,1112,2.7,5.0,2.7
630,1240,2.6,2.5,4.8
1020,1212,4.5,4.7,4.6
85,1083,3.7,3.2,3.2
341,1009,4.6,2.7,4.0
287,1179,2.8,3.7,4.6
387,1001,2.9,4.4,3.8
473,1073,3.7,3.1,3.2
139,1189,3.5,3.3,2.9
182,1064,3.7,3.6,4.9
773,1113,3.3,4.1,4.5
1416,1140,3.5,4.8,4.5
1438,1253,4.6,4.2,3.0
726,1127,3.7,4.3,2.6
593,1240,2.6,4.7,2.9
764,1276,5.0,2.8,4.3
393,1256,3.2,3.3,3.3
1294,1251,3.1,3.7,3.5
29,1039,4.8,4.2,4.2
1452,1218,4.3,3.3,4.3
1261,1161,4.7,4.1,3.4
1181,1135,3.5,3.4,2.6
504,1227,4.6,4.5,3.5
121,1232,4.5,3.7,4.9
742,1115,4.5,4.7,3.6
398,1270,4.5,4.4,4.3
1429,1009,4.1,4.9,4.4
1254,1258,4.7,3.0,4.7
831,1002,2.9,3.1,2.7
1307,1238,4.7,3.3,2.6
352,1113,2.9,3.8,3.7
1146,1160,3.2,3.0,3.0
917,1154,2.6,2.5,3.4
1192,1096,3.4,4.0,3.3
852,1143,2.8,4.4,4.9
1142,1179,3.0,2.9,4.2
83,1086,4.6,4.4,3.2
945,1234,3.5,3.8,4.0
984,1210,4.8,3.0,4.4
30,1001,4.3,2.6,4.9
295,1009,4.0,3.2,5.0
587,1060,3.6,3.2,2.5
228,1147,4.0,4.9,2.7
765,1248,4.6,3.5,3.7
20,1225,4.7,3.9,4.8
1287,1162,4.6,3.1,3.2
1267,1211,4.7,4.6,4.5
1483,1013,4.2,3.9,3.5
148,1244,2.5,3.1,3.1
786,1201,4.6,3.1,2.5
184,1259,2.6,2.7,4.5
796,1211,3.8,4.7,4.8
80,1248,2.5,4.7,4.3
85,1082,4.4,4.5,4.4
613,1114,4.2,3.7,4.0
222,1123,3.8,3.9,4.4
760,1245,4.6,4.8,3.5
338,1242,4.3,2.9,4.1
740,1134,2.5,3.6,3.3
516,1248,3.1,3.7,2.7
1390,1068,4.8,4.3,2.9
768,1271,3.2,3.1,2.9
1093,1085,3.6,4.3,3.4
692,1247,4.4,3.2,5.0
1222,1263,4.2,4.1,2.7
123,1247,2.9,2.8,4.8
92,1269,4.9,2.7,4.4
159,1251,4.4,3.2,2.9
964,1007,4.4,3.3,3.8
1378,1259,4.6,3.8,3.8
709,1020,3.7,4.0,4.5
373,1018,3.4,2.7,2.9
584,1076,4.5,3.9,3.1
991,1098,2.5,4.8,4.5
845,1120,4.5,2.7,2.7
667,1007,2.9,2.9,4.5
449,1255,3.8,3.7,4.8
672,1212,4.1,2.6,4.6
289,1239,4.5,3.6,4.5
1300,1074,4.4,3.5,2.9
23,1235,4.1,3.7,4.0
224,1111,4.2,4.9,4.4
1255,1183,4.6,4.8,4.5
647,1006,3.9,3.6,3.3
1267,1218,3.4,4.7,2.6
930,1011,3.0,3.9,2.5
812,1094,4.2,3.4,3.3
420,1122,4.4,2.5,3.3
1227,1013,3.7,2.8,2.7
1362,1243,3.8,4.4,4.0
157,1249,3.7,3.9,3.9
680,1255,4.4,2.8,4.5
211,1009,4.5,4.1,3.1
963,1083,3.8,3.6,2.6
843,1226,2.8,4.8,4.2
1500,1254,5.0,4.2,4.5
719,1206,5.0,3.2,4.6
929,1009,5.0,4.9,3.4
692,1248,3.7,4.3,3.5
105,1227,2.6,3.2,3.0
798,1066,2.7,2.8,3.8
140,1254,4.0,2.8,2.8
706,1278,4.9,4.4,3.3
1038,1107,2.8,3.9,4.0
354,1047,2.7,2.6,3.3
