student_id,course_id,rank,preference_score
31,1091,1,1.0
31,1104,2,0.84
31,1079,3,0.66
31,1098,4,0.55
32,1057,1,1.0
32,1021,2,0.89
32,1012,3,0.72
32,1033,4,0.52
32,1035,5,0.4
32,1075,6,0.23
33,1218,1,0.96
33,1203,2,0.82
33,1216,3,0.68
34,1209,1,1.0
34,1222,2,0.82
34,1219,3,0.68
35,1149,1,1.0
35,1183,2,0.84
35,1172,3,0.68
35,1156,4,0.54
35,1178,5,0.36
35,1154,6,0.2
36,1162,1,1.0
36,1158,2,0.86
36,1181,3,0.72
37,1275,1,0.99
37,1265,2,0.85
37,1274,3,0.68
38,1163,1,1.0
38,1149,2,0.83
38,1160,3,0.74
38,1182,4,0.54
38,1158,5,0.43
39,1221,1,1.0
39,1200,2,0.85
39,1208,3,0.66
40,1137,1,1.0
40,1130,2,0.88
40,1134,3,0.68
40,1140,4,0.56
40,1131,5,0.38
40,1128,6,0.29
41,1005,1,1.0
41,1001,2,0.8
41,1008,3,0.74
41,1000,4,0.51
41,1002,5,0.35
42,1140,1,1.0
42,1117,2,0.89
42,1122,3,0.68
42,1131,4,0.57
42,1139,5,0.44
42,1133,6,0.23
43,1032,1,1.0
43,1068,2,0.89
43,1066,3,0.66
43,1016,4,0.52
43,1053,5,0.41
43,1025,6,0.23
44,1095,1,0.97
44,1091,2,0.88
44,1099,3,0.74
45,1240,1,1.0
45,1236,2,0.81
45,1231,3,0.72
45,1234,4,0.53
45,1233,5,0.37
45,1226,6,0.26
46,1240,1,0.99
46,1230,2,0.87
46,1232,3,0.67
46,1228,4,0.53
46,1237,5,0.36
47,1008,1,0.98
47,1004,2,0.85
47,1001,3,0.71
47,1003,4,0.53
48,1250,1,1.0
48,1252,2,0.84
48,1253,3,0.68
48,1254,4,0.54
49,1235,1,0.98
49,1227,2,0.88
49,1226,3,0.72
50,1000,1,0.98
50,1007,2,0.84
50,1008,3,0.72
50,1006,4,0.53
50,1004,5,0.4
50,1003,6,0.24
51,1254,1,1.0
51,1244,2,0.81
51,1252,3,0.71
51,1248,4,0.51
51,1242,5,0.38
52,1017,1,1.0
52,1018,2,0.82
52,1010,3,0.72
52,1053,4,0.56
53,1243,1,1.0
53,1252,2,0.88
53,1244,3,0.71
54,1083,1,1.0
54,1102,2,0.82
54,1088,3,0.65
54,1089,4,0.53
54,1106,5,0.44
54,1095,6,0.25
55,1228,1,0.99
55,1237,2,0.82
55,1227,3,0.73
55,1225,4,0.57
56,1223,1,0.96
56,1195,2,0.85
56,1196,3,0.66
56,1204,4,0.54
56,1215,5,0.35
57,1157,1,1.0
57,1150,2,0.88
57,1186,3,0.71
57,1187,4,0.52
58,1050,1,0.99
58,1055,2,0.82
58,1044,3,0.74
58,1049,4,0.57
59,1062,1,1.0
59,1049,2,0.85
59,1061,3,0.69
59,1074,4,0.52
60,1009,1,0.97
60,1007,2,0.83
60,1008,3,0.67
60,1000,4,0.57
60,1005,5,0.4
60,1003,6,0.28
61,1278,1,1.0
61,1273,2,0.85
61,1268,3,0.65
61,1263,4,0.6
61,1261,5,0.38
61,1276,6,0.27
62,1251,1,1.0
62,1250,2,0.83
62,1249,3,0.7
62,1242,4,0.52
62,1247,5,0.42
63,1243,1,1.0
63,1249,2,0.89
63,1247,3,0.66
63,1248,4,0.53
63,1244,5,0.45
64,1000,1,1.0
64,1007,2,0.84
64,1006,3,0.74
64,1002,4,0.55
65,1185,1,1.0
65,1167,2,0.8
65,1190,3,0.74
65,1166,4,0.54
65,1178,5,0.37
65,1183,6,0.25
66,1196,1,0.97
66,1218,2,0.82
66,1212,3,0.69
66,1200,4,0.57
66,1209,5,0.36
67,1052,1,0.99
67,1022,2,0.83
67,1064,3,0.66
67,1015,4,0.57
68,1170,1,0.97
68,1182,2,0.82
68,1163,3,0.73
68,1191,4,0.5
68,1152,5,0.35
68,1174,6,0.26
69,1208,1,0.96
69,1215,2,0.85
69,1201,3,0.74
69,1192,4,0.51
70,1278,1,0.98
70,1268,2,0.82
70,1272,3,0.75
70,1265,4,0.56
71,1001,1,1.0
71,1002,2,0.87
71,1000,3,0.73
72,1081,1,0.97
72,1111,2,0.86
72,1100,3,0.7
73,1271,1,0.97
73,1278,2,0.88
73,1276,3,0.71
73,1266,4,0.58
73,1263,5,0.43
73,1267,6,0.22
74,1001,1,0.97
74,1003,2,0.87
74,1002,3,0.74
74,1006,4,0.56
74,1005,5,0.36
75,1009,1,0.99
75,1005,2,0.81
75,1003,3,0.67
75,1008,4,0.59
75,1001,5,0.4
75,1002,6,0.24
76,1009,1,1.0
76,1001,2,0.82
76,1004,3,0.74
76,1006,4,0.56
77,1234,1,0.96
77,1239,2,0.87
77,1230,3,0.74
78,1172,1,1.0
78,1173,2,0.88
78,1144,3,0.71
79,1204,1,0.99
79,1192,2,0.8
79,1205,3,0.7
79,1201,4,0.52
79,1220,5,0.43
79,1208,6,0.28
80,1248,1,0.99
80,1252,2,0.88
80,1243,3,0.74
80,1242,4,0.58
80,1249,5,0.41
80,1247,6,0.24
81,1059,1,1.0
81,1043,2,0.82
81,1022,3,0.74
81,1071,4,0.53
81,1014,5,0.44
82,1021,1,0.98
82,1075,2,0.8
82,1068,3,0.72
82,1049,4,0.5
82,1057,5,0.4
82,1071,6,0.25
83,1090,1,1.0
83,1113,2,0.87
83,1101,3,0.68
83,1086,4,0.54
83,1116,5,0.37
83,1079,6,0.27
84,1102,1,0.98
84,1110,2,0.85
84,1086,3,0.71
84,1082,4,0.56
84,1094,5,0.45
85,1109,1,1.0
85,1083,2,0.84
85,1086,3,0.73
85,1087,4,0.55
85,1082,5,0.39
85,1108,6,0.26
86,1119,1,1.0
86,1129,2,0.86
86,1123,3,0.73
86,1137,4,0.54
86,1135,5,0.36
87,1080,1,1.0
87,1111,2,0.84
87,1106,3,0.72
88,1019,1,0.96
88,1068,2,0.85
88,1076,3,0.73
88,1038,4,0.58
89,1273,1,0.97
89,1276,2,0.9
89,1275,3,0.65
90,1202,1,1.0
90,1212,2,0.85
90,1196,3,0.71
91,1109,1,0.96
91,1103,2,0.82
91,1090,3,0.66
92,1269,1,1.0
92,1257,2,0.89
92,1274,3,0.69
93,1143,1,1.0
93,1135,2,0.86
93,1117,3,0.74
93,1122,4,0.58
93,1123,5,0.41
94,1128,1,0.95
94,1117,2,0.89
94,1127,3,0.74
94,1139,4,0.55
94,1136,5,0.37
94,1124,6,0.28
95,1249,1,1.0
95,1246,2,0.87
95,1252,3,0.69
95,1253,4,0.57
96,1237,1,0.96
96,1236,2,0.83
96,1240,3,0.69
96,1239,4,0.57
97,1230,1,1.0
97,1237,2,0.85
97,1238,3,0.72
97,1225,4,0.51
97,1227,5,0.36
97,1239,6,0.23
98,1238,1,0.98
98,1240,2,0.88
98,1227,3,0.67
98,1229,4,0.6
98,1231,5,0.4
99,1187,1,1.0
99,1171,2,0.83
99,1163,3,0.69
99,1183,4,0.51
99,1180,5,0.36
99,1191,6,0.23
100,1240,1,1.0
100,1226,2,0.9
100,1232,3,0.74
101,1137,1,1.0
101,1134,2,0.9
101,1133,3,0.71
101,1120,4,0.58
101,1118,5,0.43
102,1246,1,1.0
102,1254,2,0.89
102,1244,3,0.74
102,1249,4,0.55
102,1248,5,0.38
102,1243,6,0.24
103,1272,1,1.0
103,1260,2,0.82
103,1278,3,0.68
103,1269,4,0.6
104,1098,1,1.0
104,1088,2,0.83
104,1084,3,0.68
105,1225,1,1.0
105,1236,2,0.88
105,1237,3,0.66
105,1227,4,0.59
105,1234,5,0.4
105,1231,6,0.24
106,1260,1,0.97
106,1277,2,0.87
106,1271,3,0.74
106,1265,4,0.52
106,1267,5,0.42
107,1003,1,1.0
107,1007,2,0.89
107,1002,3,0.67
107,1008,4,0.52
108,1045,1,1.0
108,1047,2,0.84
108,1012,3,0.73
108,1052,4,0.51
109,1227,1,1.0
109,1233,2,0.87
109,1229,3,0.71
110,1060,1,1.0
110,1044,2,0.84
110,1019,3,0.68
111,1235,1,1.0
111,1227,2,0.9
111,1231,3,0.74
111,1236,4,0.53
111,1237,5,0.37
112,1006,1,0.96
112,1002,2,0.88
112,1009,3,0.7
112,1004,4,0.55
113,1094,1,0.99
113,1079,2,0.87
113,1092,3,0.67
113,1112,4,0.6
113,1109,5,0.42
114,1146,1,0.98
114,1182,2,0.8
114,1159,3,0.72
114,1168,4,0.54
114,1189,5,0.36
114,1149,6,0.24
115,1209,1,0.97
115,1215,2,0.83
115,1223,3,0.68
115,1211,4,0.6
115,1193,5,0.38
116,1258,1,1.0
116,1256,2,0.82
116,1274,3,0.72
116,1267,4,0.54
117,1273,1,0.98
117,1257,2,0.82
117,1271,3,0.66
117,1268,4,0.56
117,1259,5,0.37
117,1276,6,0.21
118,1089,1,1.0
118,1079,2,0.86
118,1097,3,0.74
118,1099,4,0.52
118,1095,5,0.43
119,1250,1,1.0
119,1254,2,0.8
119,1252,3,0.69
119,1247,4,0.51
120,1123,1,1.0
120,1122,2,0.83
120,1117,3,0.71
120,1119,4,0.56
120,1138,5,0.39
121,1238,1,0.96
121,1233,2,0.88
121,1232,3,0.7
121,1240,4,0.56
122,1217,1,1.0
122,1209,2,0.83
122,1210,3,0.69
122,1214,4,0.56
122,1200,5,0.43
122,1224,6,0.23
123,1243,1,0.96
123,1254,2,0.89
123,1242,3,0.75
123,1247,4,0.52
123,1252,5,0.41
123,1245,6,0.26
124,1197,1,1.0
124,1194,2,0.83
124,1198,3,0.68
124,1202,4,0.55
125,1142,1,1.0
125,1123,2,0.84
125,1122,3,0.68
125,1138,4,0.56
125,1137,5,0.36
125,1129,6,0.22
126,1031,1,0.99
126,1057,2,0.86
126,1056,3,0.69
126,1046,4,0.59
126,1042,5,0.36
127,1231,1,0.97
127,1238,2,0.83
127,1232,3,0.68
127,1233,4,0.53
127,1241,5,0.41
128,1117,1,1.0
128,1124,2,0.88
128,1132,3,0.74
128,1133,4,0.57
128,1134,5,0.4
129,1261,1,0.99
129,1260,2,0.82
129,1271,3,0.65
129,1263,4,0.57
129,1258,5,0.42
129,1274,6,0.29
130,1272,1,0.97
130,1264,2,0.84
130,1265,3,0.66
131,1241,1,1.0
131,1233,2,0.8
131,1240,3,0.69
131,1231,4,0.58
131,1227,5,0.36
131,1226,6,0.23
132,1179,1,0.96
132,1162,2,0.89
132,1182,3,0.69
132,1145,4,0.52
133,1104,1,0.99
133,1106,2,0.81
133,1112,3,0.7
133,1092,4,0.52
133,1078,5,0.35
134,1104,1,1.0
134,1094,2,0.83
134,1085,3,0.7
134,1108,4,0.6
134,1088,5,0.4
135,1270,1,1.0
135,1268,2,0.81
135,1271,3,0.74
135,1258,4,0.55
135,1274,5,0.41
136,1255,1,1.0
136,1262,2,0.86
136,1264,3,0.71
136,1259,4,0.55
136,1265,5,0.41
136,1272,6,0.23
137,1131,1,1.0
137,1126,2,0.82
137,1134,3,0.66
137,1128,4,0.53
137,1136,5,0.39
138,1005,1,0.98
138,1003,2,0.8
138,1007,3,0.73
138,1008,4,0.58
139,1181,1,0.98
139,1150,2,0.85
139,1166,3,0.72
139,1161,4,0.55
139,1189,5,0.43
140,1243,1,0.95
140,1248,2,0.84
140,1254,3,0.68
140,1247,4,0.52
140,1253,5,0.35
141,1128,1,0.97
141,1138,2,0.89
141,1136,3,0.69
141,1124,4,0.52
141,1133,5,0.42
142,1125,1,1.0
142,1119,2,0.82
142,1142,3,0.66
142,1118,4,0.56
142,1117,5,0.4
142,1132,6,0.28
143,1277,1,0.98
143,1256,2,0.87
143,1259,3,0.73
143,1271,4,0.54
143,1266,5,0.44
144,1275,1,0.96
144,1278,2,0.81
144,1271,3,0.7
144,1276,4,0.55
145,1234,1,0.97
145,1232,2,0.8
145,1235,3,0.65
145,1238,4,0.55
145,1228,5,0.37
145,1240,6,0.21
146,1248,1,0.96
146,1245,2,0.84
146,1244,3,0.65
146,1246,4,0.51
146,1243,5,0.35
147,1141,1,0.98
147,1123,2,0.83
147,1140,3,0.73
147,1133,4,0.6
148,1242,1,1.0
148,1244,2,0.8
148,1247,3,0.66
148,1249,4,0.58
148,1253,5,0.36
148,1245,6,0.23
149,1193,1,0.96
149,1220,2,0.85
149,1209,3,0.67
149,1224,4,0.58
149,1203,5,0.43
149,1192,6,0.28
150,1084,1,1.0
150,1104,2,0.87
150,1078,3,0.69
151,1233,1,0.97
151,1237,2,0.9
151,1230,3,0.67
151,1234,4,0.57
151,1229,5,0.36
151,1236,6,0.27
152,1079,1,1.0
152,1082,2,0.87
152,1109,3,0.68
152,1083,4,0.53
153,1234,1,1.0
153,1238,2,0.85
153,1235,3,0.66
154,1174,1,1.0
154,1145,2,0.82
154,1189,3,0.74
154,1153,4,0.59
154,1180,5,0.37
154,1149,6,0.21
155,1133,1,0.98
155,1136,2,0.82
155,1137,3,0.68
155,1119,4,0.51
155,1140,5,0.43
155,1118,6,0.2
156,1079,1,1.0
156,1114,2,0.87
156,1103,3,0.72
157,1244,1,0.99
157,1249,2,0.81
157,1253,3,0.67
157,1245,4,0.51
158,1140,1,1.0
158,1130,2,0.9
158,1125,3,0.71
158,1123,4,0.51
158,1131,5,0.41
159,1249,1,0.96
159,1251,2,0.82
159,1244,3,0.75
160,1112,1,1.0
160,1082,2,0.84
160,1085,3,0.67
160,1091,4,0.57
160,1110,5,0.39
161,1277,1,0.98
161,1274,2,0.8
161,1256,3,0.72
161,1278,4,0.56
162,1221,1,0.97
162,1214,2,0.82
162,1223,3,0.68
162,1210,4,0.57
162,1213,5,0.38
162,1219,6,0.28
163,1168,1,0.96
163,1180,2,0.82
163,1178,3,0.68
163,1149,4,0.53
164,1187,1,1.0
164,1189,2,0.88
164,1165,3,0.7
164,1181,4,0.57
164,1147,5,0.44
165,1088,1,1.0
165,1084,2,0.82
165,1092,3,0.72
165,1104,4,0.57
165,1089,5,0.4
166,1045,1,0.97
166,1017,2,0.87
166,1032,3,0.73
166,1042,4,0.52
166,1073,5,0.38
166,1053,6,0.24
167,1196,1,0.96
167,1204,2,0.85
167,1199,3,0.66
167,1203,4,0.58
167,1193,5,0.36
168,1002,1,0.97
168,1003,2,0.85
168,1006,3,0.66
169,1230,1,1.0
169,1227,2,0.85
169,1231,3,0.72
169,1240,4,0.53
169,1228,5,0.39
169,1239,6,0.26
170,1167,1,0.95
170,1180,2,0.89
170,1144,3,0.72
171,1140,1,1.0
171,1133,2,0.86
171,1135,3,0.69
172,1260,1,1.0
172,1263,2,0.88
172,1258,3,0.66
172,1268,4,0.56
172,1261,5,0.4
172,1255,6,0.27
173,1006,1,0.96
173,1002,2,0.82
173,1003,3,0.7
173,1004,4,0.51
173,1007,5,0.37
174,1133,1,0.97
174,1117,2,0.85
174,1137,3,0.67
174,1127,4,0.56
174,1134,5,0.37
174,1128,6,0.27
175,1085,1,1.0
175,1114,2,0.88
175,1089,3,0.71
175,1103,4,0.57
175,1088,5,0.42
175,1093,6,0.24
176,1221,1,0.97
176,1220,2,0.82
176,1222,3,0.69
177,1188,1,1.0
177,1183,2,0.85
177,1151,3,0.71
177,1161,4,0.59
177,1155,5,0.44
178,1238,1,1.0
178,1239,2,0.84
178,1225,3,0.71
178,1234,4,0.58
178,1229,5,0.38
179,1002,1,1.0
179,1001,2,0.82
179,1004,3,0.73
179,1005,4,0.59
180,1181,1,0.99
180,1164,2,0.85
180,1177,3,0.75
180,1171,4,0.5
180,1150,5,0.35
181,1038,1,1.0
181,1036,2,0.85
181,1050,3,0.75
181,1040,4,0.53
181,1065,5,0.38
182,1021,1,0.97
182,1040,2,0.83
182,1064,3,0.73
182,1024,4,0.59
183,1047,1,1.0
183,1050,2,0.85
183,1072,3,0.71
183,1063,4,0.56
183,1034,5,0.36
184,1274,1,0.99
184,1259,2,0.81
184,1269,3,0.69
184,1258,4,0.56
184,1278,5,0.37
184,1265,6,0.28
185,1115,1,1.0
185,1111,2,0.86
185,1104,3,0.67
186,1135,1,1.0
186,1143,2,0.88
186,1136,3,0.67
187,1164,1,1.0
187,1170,2,0.83
187,1176,3,0.72
188,1139,1,0.96
188,1124,2,0.81
188,1119,3,0.73
188,1128,4,0.53
188,1133,5,0.43
188,1126,6,0.24
189,1141,1,1.0
189,1140,2,0.82
189,1142,3,0.72
190,1169,1,1.0
190,1157,2,0.86
190,1153,3,0.66
191,1261,1,0.98
191,1271,2,0.86
191,1277,3,0.68
192,1260,1,0.97
192,1262,2,0.87
192,1265,3,0.75
192,1261,4,0.6
193,1200,1,0.97
193,1224,2,0.83
193,1204,3,0.69
194,1086,1,0.98
194,1103,2,0.85
194,1083,3,0.72
194,1115,4,0.55
195,1220,1,0.96
195,1204,2,0.85
195,1215,3,0.73
195,1211,4,0.51
195,1207,5,0.36
196,1141,1,1.0
196,1133,2,0.87
196,1131,3,0.67
196,1120,4,0.56
197,1096,1,0.97
197,1090,2,0.83
197,1103,3,0.69
197,1078,4,0.57
198,1212,1,0.96
198,1192,2,0.84
198,1218,3,0.69
199,1215,1,0.98
199,1198,2,0.86
199,1192,3,0.65
199,1211,4,0.53
200,1038,1,1.0
200,1050,2,0.9
200,1074,3,0.69
200,1032,4,0.51
200,1054,5,0.35
201,1270,1,0.97
201,1262,2,0.84
201,1264,3,0.73
201,1274,4,0.59
202,1245,1,1.0
202,1252,2,0.82
202,1249,3,0.71
203,1218,1,1.0
203,1216,2,0.88
203,1205,3,0.65
203,1217,4,0.57
204,1003,1,0.98
204,1006,2,0.85
204,1002,3,0.68
205,1044,1,0.97
205,1036,2,0.85
205,1055,3,0.68
205,1056,4,0.55
206,1134,1,1.0
206,1121,2,0.87
206,1133,3,0.69
206,1122,4,0.59
207,1240,1,0.98
207,1231,2,0.81
207,1237,3,0.67
208,1266,1,0.96
208,1263,2,0.87
208,1257,3,0.65
208,1264,4,0.54
208,1261,5,0.38
209,1176,1,1.0
209,1173,2,0.8
209,1183,3,0.74
209,1171,4,0.56
209,1182,5,0.37
210,1075,1,1.0
210,1056,2,0.87
210,1070,3,0.74
210,1045,4,0.55
210,1067,5,0.41
210,1044,6,0.21
211,1009,1,1.0
211,1008,2,0.85
211,1000,3,0.74
211,1006,4,0.5
212,1001,1,1.0
212,1007,2,0.83
212,1002,3,0.7
212,1009,4,0.57
213,1177,1,0.98
213,1172,2,0.84
213,1182,3,0.71
214,1238,1,1.0
214,1225,2,0.9
214,1231,3,0.68
214,1239,4,0.51
215,1255,1,1.0
215,1265,2,0.89
215,1270,3,0.73
215,1260,4,0.5
215,1264,5,0.41
216,1262,1,0.97
216,1261,2,0.83
216,1273,3,0.69
216,1256,4,0.51
216,1257,5,0.42
217,1247,1,0.99
217,1246,2,0.86
217,1250,3,0.69
217,1248,4,0.53
218,1008,1,0.99
218,1002,2,0.81
218,1000,3,0.72
218,1007,4,0.56
218,1005,5,0.42
219,1173,1,1.0
219,1157,2,0.83
219,1144,3,0.72
219,1155,4,0.55
220,1198,1,0.99
220,1199,2,0.89
220,1216,3,0.73
220,1215,4,0.57
221,1214,1,0.98
221,1210,2,0.86
221,1220,3,0.74
221,1206,4,0.51
222,1123,1,1.0
222,1121,2,0.81
222,1132,3,0.65
222,1133,4,0.53
222,1137,5,0.45
223,1008,1,0.98
223,1001,2,0.87
223,1003,3,0.73
223,1004,4,0.56
223,1002,5,0.42
223,1005,6,0.22
224,1111,1,0.96
224,1082,2,0.82
224,1104,3,0.73
224,1086,4,0.56
225,1134,1,1.0
225,1128,2,0.86
225,1133,3,0.71
225,1131,4,0.52
225,1119,5,0.35
226,1141,1,1.0
226,1142,2,0.85
226,1143,3,0.7
227,1130,1,1.0
227,1135,2,0.84
227,1127,3,0.74
227,1123,4,0.55
227,1121,5,0.36
227,1134,6,0.22
228,1173,1,0.99
228,1147,2,0.9
228,1154,3,0.74
229,1270,1,0.97
229,1261,2,0.87
229,1276,3,0.67
229,1260,4,0.52
229,1274,5,0.37
229,1269,6,0.3
230,1133,1,1.0
230,1124,2,0.85
230,1139,3,0.68
230,1136,4,0.55
230,1128,5,0.37
230,1140,6,0.24
231,1278,1,1.0
231,1271,2,0.88
231,1260,3,0.72
232,1260,1,1.0
232,1269,2,0.87
232,1273,3,0.71
232,1258,4,0.55
232,1275,5,0.44
232,1268,6,0.28
233,1007,1,1.0
233,1001,2,0.88
233,1008,3,0.65
234,1191,1,1.0
234,1169,2,0.84
234,1168,3,0.72
234,1152,4,0.56
235,1264,1,0.97
235,1266,2,0.84
235,1261,3,0.74
236,1130,1,1.0
236,1124,2,0.84
236,1141,3,0.71
236,1128,4,0.51
236,1137,5,0.4
237,1156,1,1.0
237,1174,2,0.86
237,1186,3,0.66
237,1171,4,0.55
238,1143,1,1.0
238,1126,2,0.89
238,1127,3,0.72
238,1139,4,0.51
239,1060,1,0.98
239,1044,2,0.8
239,1015,3,0.7
239,1019,4,0.59
239,1061,5,0.44
239,1073,6,0.29
240,1043,1,0.98
240,1048,2,0.87
240,1037,3,0.74
241,1011,1,1.0
241,1035,2,0.81
241,1033,3,0.66
241,1063,4,0.54
242,1005,1,0.96
242,1004,2,0.87
242,1002,3,0.72
242,1001,4,0.6
242,1000,5,0.41
243,1078,1,0.99
243,1104,2,0.84
243,1091,3,0.73
243,1116,4,0.59
244,1002,1,0.97
244,1003,2,0.81
244,1000,3,0.73
244,1004,4,0.51
245,1131,1,0.98
245,1137,2,0.88
245,1139,3,0.69
245,1136,4,0.56
245,1133,5,0.36
246,1008,1,1.0
246,1001,2,0.8
246,1006,3,0.73
246,1000,4,0.5
247,1117,1,1.0
247,1141,2,0.85
247,1123,3,0.65
247,1122,4,0.59
247,1129,5,0.37
247,1139,6,0.26
248,1112,1,1.0
248,1104,2,0.84
248,1078,3,0.71
248,1109,4,0.5
248,1093,5,0.44
248,1091,6,0.23
249,1258,1,0.95
249,1264,2,0.81
249,1278,3,0.72
249,1272,4,0.5
250,1004,1,1.0
250,1005,2,0.88
250,1003,3,0.68
251,1243,1,0.95
251,1252,2,0.84
251,1247,3,0.67
252,1278,1,1.0
252,1275,2,0.87
252,1260,3,0.71
252,1265,4,0.58
252,1272,5,0.37
253,1239,1,1.0
253,1226,2,0.84
253,1229,3,0.65
253,1237,4,0.58
253,1241,5,0.38
253,1227,6,0.29
254,1006,1,1.0
254,1004,2,0.88
254,1001,3,0.66
255,1120,1,0.96
255,1121,2,0.87
255,1130,3,0.68
255,1142,4,0.55
255,1134,5,0.4
255,1118,6,0.27
256,1003,1,0.96
256,1008,2,0.87
256,1005,3,0.71
257,1127,1,1.0
257,1126,2,0.87
257,1135,3,0.74
258,1106,1,0.99
258,1101,2,0.88
258,1107,3,0.68
258,1080,4,0.56
258,1096,5,0.41
259,1058,1,1.0
259,1049,2,0.85
259,1052,3,0.72
259,1026,4,0.55
260,1006,1,1.0
260,1008,2,0.82
260,1009,3,0.68
260,1003,4,0.52
261,1205,1,0.95
261,1216,2,0.86
261,1211,3,0.66
262,1237,1,1.0
262,1238,2,0.9
262,1240,3,0.69
262,1236,4,0.53
263,1207,1,0.95
263,1193,2,0.82
263,1214,3,0.68
263,1209,4,0.58
264,1277,1,0.98
264,1274,2,0.85
264,1269,3,0.73
264,1272,4,0.51
264,1258,5,0.38
265,1275,1,1.0
265,1264,2,0.86
265,1277,3,0.65
265,1258,4,0.52
265,1269,5,0.38
265,1270,6,0.23
266,1057,1,1.0
266,1033,2,0.88
266,1022,3,0.71
266,1010,4,0.55
266,1062,5,0.41
266,1016,6,0.29
267,1061,1,1.0
267,1056,2,0.88
267,1021,3,0.74
267,1042,4,0.51
267,1025,5,0.4
268,1269,1,1.0
268,1274,2,0.8
268,1277,3,0.71
268,1255,4,0.53
268,1267,5,0.44
269,1008,1,0.96
269,1007,2,0.81
269,1004,3,0.73
269,1000,4,0.53
269,1003,5,0.39
270,1174,1,1.0
270,1176,2,0.84
270,1167,3,0.71
270,1164,4,0.59
271,1007,1,1.0
271,1005,2,0.83
271,1004,3,0.65
271,1006,4,0.54
271,1008,5,0.4
272,1235,1,0.99
272,1233,2,0.88
272,1239,3,0.68
272,1227,4,0.55
273,1276,1,0.96
273,1270,2,0.88
273,1266,3,0.73
273,1274,4,0.59
274,1211,1,1.0
274,1198,2,0.88
274,1194,3,0.74
274,1210,4,0.52
274,1213,5,0.38
274,1223,6,0.25
275,1056,1,1.0
275,1029,2,0.81
275,1070,3,0.74
275,1059,4,0.58
275,1022,5,0.44
276,1206,1,0.97
276,1219,2,0.8
276,1222,3,0.69
276,1205,4,0.59
277,1273,1,0.95
277,1256,2,0.89
277,1259,3,0.72
278,1096,1,0.98
278,1089,2,0.89
278,1116,3,0.66
279,1275,1,0.95
279,1268,2,0.88
279,1267,3,0.71
279,1270,4,0.52
279,1259,5,0.37
280,1251,1,0.98
280,1244,2,0.83
280,1248,3,0.69
280,1250,4,0.51
280,1243,5,0.36
281,1235,1,0.96
281,1229,2,0.9
